catégorie	propriété CSS	valeur
Typographie	line-height	1
Typographie	text-align	center
Divers	cursor	pointer
Animation et transition	transition	var(--BoutonTransition)
Typographie	text-decoration	none
Disposition	display	inline-block
Autre	order	2
Animation et transition	transform	var(--BoutonTransformHover)
Effets visuels	box-shadow	var(--BoutonOmbreHover)
Autre	ui-linkedinButton	hover { background-color: var(--BoutonCouleurFond)
Couleur et fond	color	var(--BoutonCouleur)
Animation et transition	transform	translateY(0)
Effets visuels	box-shadow	none
Autre	ui-linkedinButton	active { background-color: var(--BoutonCouleurFond)
Couleur et fond	color	var(--BoutonCouleur)
Animation et transition	transform	translateY(0)
Effets visuels	box-shadow	none
Disposition	position	relative
Disposition	display	inline-block
Autre	order	1
Couleur et fond	background	none
Boîte	border	none
Divers	cursor	pointer
Boîte	padding	0
Disposition	display	flex
Disposition	align-items	center
Disposition	justify-content	center
Disposition	width	24px
Disposition	height	24px
Couleur et fond	color	var(--couleur-alerte)
Animation et transition	transition	transform 0.2s
Autre	ui-alertButton	hover .ui-alertIcon { transform: scale(1.1)
Disposition	position	absolute
Disposition	bottom	100%
Disposition	left	0
Boîte	margin-bottom	10px
Disposition	width	400px
Disposition	max-width	90vw
Couleur et fond	background-color	var(--couleur-alerte-fond)
Boîte	border	2px solid var(--couleur-alerte)
Boîte	border-radius	8px
Effets visuels	box-shadow	0 4px 6px rgba(0, 0, 0, 0.1)
Boîte	padding	1rem
Autre	z-index	1000
Disposition	position	absolute
Disposition	top	0.5rem
Disposition	right	0.5rem
Couleur et fond	background	none
Boîte	border	none
Typographie	font-size	var(--moyenne)
Typographie	line-height	1
Divers	cursor	pointer
Couleur et fond	color	var(--Noir)
Boîte	padding	0
Disposition	width	24px
Disposition	height	24px
Disposition	display	flex
Disposition	align-items	center
Disposition	justify-content	center
Autre	ui-closeButton	hover { color: var(--Noir)
Typographie	font-family	var(--font-serif)
Typographie	font-size	var(--p-font-size)
Typographie	line-height	var(--p-line-height)
Couleur et fond	color	var(--p-color)
Disposition	max-height	400px
Disposition	overflow-y	auto
Boîte	margin	0 0 0.75rem 0
Autre	p	last-child { margin-bottom: 0
Disposition	max-width	768px) { .videoDetournement .ui-popup { width: calc(100vw - 40px)
Disposition	max-width	400px
Disposition	max-width	59.1875rem
Boîte	margin	0 auto
Boîte	padding	0.9375rem
Disposition	width	100%
Boîte	box-sizing	border-box
Disposition	display	flex
Disposition	flex-wrap	wrap
Disposition	gap	1.875rem
Disposition	justify-content	center
Disposition	width	100%
Disposition	display	flex
Disposition	flex-direction	column
Disposition	width	calc(50% - 0.9375rem)
Disposition	min-width	18.75rem
Boîte	padding	1.25rem
Boîte	box-sizing	border-box
Autre	ui-card	last-child:nth-child(odd) { margin-right: auto
Boîte	margin-left	0
Disposition	display	flex
Disposition	align-items	center
Boîte	margin-bottom	1rem
Disposition	gap	1rem
Disposition	flex-shrink	0
Disposition	width	5rem
Disposition	height	5rem
Boîte	border-radius	50%
Disposition	overflow	hidden
Couleur et fond	background-color	var(--CouleurClaire)
Disposition	width	100%
Disposition	height	100%
Autre	object-fit	cover
Boîte	border-radius	50%
Autre	flex	1
Typographie	font-family	var(--font-sans)
Typographie	font-size	var(--h3-font-size)
Typographie	font-weight	var(--h3-font-weight)
Typographie	line-height	var(--h3-line-height)
Boîte	margin	0 0 0.25rem 0
Couleur et fond	color	var(--CouleurFoncé)
Typographie	font-family	var(--font-serif)
Typographie	font-size	var(--a-font-size)
Typographie	font-style	var(--a-font-style)
Typographie	line-height	1.4
Boîte	margin	0
Couleur et fond	color	var(--a-color)
Typographie	font-family	var(--font-serif)
Typographie	font-size	var(--p-font-size)
Typographie	font-weight	var(--p-font-weight)
Typographie	line-height	1.6
Couleur et fond	color	var(--p-color)
Boîte	margin	0 0 0.75rem 0
Autre	ui-paragraph	last-child { margin-bottom: 0
Disposition	max-width	768px) { .temoignages .temoignage.ui-card { width: 100%
Disposition	min-width	unset
Disposition	min-width	769px) { .temoignages { padding: 20px
Typographie	font-size	var(--petite)
Typographie	font-size	var(--normale)
Typographie	font-size	var(--normale)
Disposition	width	100%
Boîte	box-sizing	border-box
Couleur et fond	background-color	var(--background)
Boîte	padding	2rem 1rem
Autre	hero	has(.ui-heroGauche) { padding-left: 4%
Boîte	padding-right	4%
Disposition	display	flex
Disposition	flex-direction	column
Disposition	justify-content	center
Boîte	padding	0
Disposition	display	flex
Disposition	align-items	center
Disposition	justify-content	center
Disposition	min-height	0
Disposition	width	100%
Disposition	max-width	none
Boîte	padding	0
Disposition	display	flex
Disposition	flex-direction	column
Disposition	align-items	center
Disposition	justify-content	center
Disposition	position	relative
Disposition	width	100%
Disposition	height	0
Boîte	padding-bottom	56.25%
Disposition	overflow	hidden
Disposition	position	absolute
Disposition	top	0
Disposition	left	0
Disposition	width	100%
Disposition	height	100%
Disposition	min-width	769px) { .hero:has(.ui-heroGauche), .main.home .hero:has(.ui-heroGauche) { display: grid
Disposition	grid-template-columns	1fr 1fr
Disposition	gap	2rem
Disposition	width	100%
Disposition	align-items	stretch
Boîte	padding	58px 63.5px
Disposition	width	100%
Disposition	max-width	768px) { .hero:has(.ui-heroGauche) { display: flex
Disposition	flex-direction	column
Disposition	max-width	75rem
Boîte	margin	0 auto
Typographie	font-family	var(--font-sans)
Typographie	font-size	var(--enorme)
Typographie	font-weight	700
Typographie	text-align	center
Boîte	margin-top	0
Boîte	margin-bottom	0.75rem
Boîte	padding	0
Couleur et fond	background	none
Couleur et fond	color	var(--h2-color)
Typographie	line-height	1.2
Typographie	font-family	var(--font-sans)
Typographie	font-size	14px
Typographie	font-weight	500
Typographie	text-align	center
Boîte	margin-bottom	1rem
Boîte	padding	0
Couleur et fond	color	var(--h3-color)
Typographie	line-height	1.3
Typographie	font-family	var(--font-serif)
Typographie	font-size	var(--p-font-size)
Typographie	font-weight	var(--p-font-weight)
Typographie	line-height	var(--p-line-height)
Typographie	text-align	center
Boîte	margin-bottom	3rem
Boîte	padding	0
Couleur et fond	color	var(--p-color)
Disposition	max-width	50rem
Boîte	margin-left	auto
Boîte	margin-right	auto
Typographie	white-space	pre-line
Autre	hero	has(.ui-heroGauche) .ui-heroGauche .hero.titre, .hero:has(.ui-heroGauche) .ui-heroGauche .hero.sousTitre, .hero:has(.ui-heroGauche) .ui-heroGauche .hero.description { text-align: center
Boîte	margin-left	auto
Boîte	margin-right	auto
Disposition	display	flex
Disposition	flex-direction	column
Disposition	flex-wrap	wrap
Disposition	justify-content	center
Disposition	align-items	center
Disposition	gap	2rem
Boîte	margin-bottom	2rem
Autre	hero	has(.ui-heroGauche) .ui-heroCtas { justify-content: center
Disposition	width	100%
Disposition	max-width	25rem
Disposition	display	block
Disposition	display	grid
Disposition	grid-template-columns	repeat(4, 1fr)
Disposition	gap	1rem
Boîte	margin-top	2rem
Disposition	align-items	stretch
Disposition	max-width	768px) { .hero { padding: 1.5rem 1rem
Typographie	font-size	var(--h2-font-size)
Boîte	margin-bottom	0.5rem
Typographie	font-size	var(--petite)
Boîte	margin-bottom	0.5rem
Typographie	font-size	var(--p-font-size)
Boîte	margin-bottom	1.5rem
Boîte	margin-bottom	1.5rem
Disposition	grid-template-columns	1fr
Disposition	gap	1rem
Boîte	margin-top	1.5rem
Autre	profil	not(.ui-card) { display: flex
Disposition	flex-direction	column
Disposition	align-items	center
Boîte	padding	1rem
Boîte	border	1px solid var(--Noir-10)
Boîte	border-radius	var(--BoutonContourRadius)
Couleur et fond	background-color	var(--Blanc)
Effets visuels	box-shadow	0 0.0625rem 0.25rem rgba(0, 0, 0, 0.08)
Disposition	height	100%
Typographie	font-size	var(--h2-font-size)
Typographie	font-weight	var(--h2-font-weight)
Boîte	margin-bottom	0.5rem
Typographie	text-align	center
Couleur et fond	color	var(--h2-color)
Typographie	line-height	var(--h2-line-height)
Couleur et fond	background	none
Boîte	border	none
Boîte	border-radius	0
Effets visuels	box-shadow	none
Boîte	padding	0
Divers	list-style	none
Boîte	padding	0
Boîte	margin	0 0 auto 0
Typographie	text-align	center
Disposition	flex-grow	1
Disposition	display	flex
Disposition	flex-direction	column
Disposition	justify-content	flex-start
Couleur et fond	background	none
Boîte	border	none
Boîte	border-radius	0
Effets visuels	box-shadow	none
Typographie	font-size	var(--l1-font-size)
Couleur et fond	color	var(--l1-color)
Boîte	margin-bottom	0.25rem
Typographie	line-height	var(--l1-line-height)
Couleur et fond	background	none
Boîte	border	none
Boîte	border-radius	0
Effets visuels	box-shadow	none
Boîte	padding	0
Autre	jobTitle	last-child { margin-bottom: 0
Typographie	font-family	var(--font-sans)
Typographie	font-size	var(--lk-font-size)
Typographie	font-weight	var(--lk-font-weight)
Couleur et fond	color	var(--lk-color)
Typographie	text-decoration	var(--lk-text-decoration)
Couleur et fond	background	none
Boîte	border	none
Boîte	padding	0
Divers	cursor	pointer
Animation et transition	transition	opacity 0.2s ease
Autre	lienInterne	hover { color: var(--lk-color)
Effets visuels	opacity	0.85
Disposition	display	flex
Disposition	flex-direction	column
Disposition	align-items	center
Autre	flex	1
Disposition	width	100%
Typographie	text-decoration	none
Couleur et fond	color	inherit
Divers	cursor	pointer
Couleur et fond	background	transparent
Boîte	border	none
Boîte	border-radius	0
Effets visuels	box-shadow	none
Boîte	padding	0
Autre	ui-card	hover { color: inherit
Boîte	margin-top	0.75rem
Typographie	font-size	var(--lk-font-size)
Typographie	font-weight	var(--lk-font-weight)
Couleur et fond	color	var(--lk-color)
Typographie	text-decoration	var(--lk-text-decoration)
Couleur et fond	background	none
Boîte	border	none
Boîte	border-radius	0
Effets visuels	box-shadow	none
Boîte	padding	0
Disposition	display	inline-flex
Disposition	align-items	center
Disposition	gap	0.35rem
Boîte	margin-top	1.25rem
Typographie	font-size	var(--lk-font-size)
Typographie	font-weight	var(--lk-font-weight)
Couleur et fond	color	var(--lk-color)
Typographie	text-decoration	var(--lk-text-decoration)
Animation et transition	transition	opacity 0.2s ease
Couleur et fond	background	none
Boîte	border	none
Boîte	border-radius	0
Effets visuels	box-shadow	none
Boîte	padding	0
Autre	cvPath	hover { color: var(--lk-color)
Effets visuels	opacity	0.85
Disposition	flex-shrink	0
Disposition	width	1.15em
Disposition	height	1.15em
Disposition	max-width	768px) { .profil:not(.ui-card) { width: 100%
Boîte	margin-bottom	0.75rem
Boîte	padding	0.875rem
Typographie	font-size	var(--normale)
Boîte	margin-bottom	0.375rem
Typographie	font-size	var(--petite)
Boîte	margin-bottom	0.125rem
Boîte	margin-top	0.5rem
Boîte	margin-top	1rem
Typographie	font-size	var(--normale)
Disposition	display	grid
Disposition	grid-template-columns	1fr
Disposition	gap	1rem
Disposition	width	100%
Boîte	margin-top	1rem
Boîte	padding-left	4%
Boîte	padding-right	4%
Boîte	box-sizing	border-box
Disposition	min-width	769px) { .blocsProfils { grid-template-columns: repeat(2, 1fr)
Disposition	gap	1.25rem
Boîte	margin-top	1.5rem
Disposition	min-width	1200px) { .blocsProfils { grid-template-columns: repeat(4, 1fr)
Disposition	min-width	1920px) { .texteLarge, .domaineDeCompetence, .callToAction, .groupeBoutons { max-width: 87.5rem
Disposition	max-width	87.5rem
Disposition	max-width	56.25rem
Disposition	max-width	68.75rem
Disposition	max-width	87.5rem
Typographie	font-size	var(--normale)
Typographie	font-size	var(--moyenne)
Typographie	line-height	1.5
Typographie	font-size	var(--grande)
Typographie	font-size	var(--petite)
Typographie	font-size	var(--moyenne)
Typographie	font-size	var(--n-font-size)
Typographie	font-size	var(--grande)
Typographie	font-size	var(--grande)
Typographie	font-size	var(--moyenne)
Typographie	font-size	var(--petite)
Typographie	font-size	var(--petite)
Typographie	font-size	var(--enorme)
Boîte	padding	0
Typographie	font-size	14px
Typographie	font-size	var(--normale)
Disposition	max-width	56.25rem
Boîte	padding	0
Boîte	padding	3rem 2rem
Boîte	padding	0
Boîte	padding	3rem 2rem
Boîte	padding	3rem 2rem
Boîte	padding	30px
Boîte	padding	3rem 2rem
Boîte	padding	1.5rem 2rem
Boîte	margin-top	2.5rem
Typographie	font-size	var(--moyenne)
Typographie	font-size	var(--petite)
Disposition	min-width	2560px) { .texteLarge, .domaineDeCompetence, .callToAction, .groupeBoutons { max-width: 100rem
Boîte	margin-left	auto
Boîte	margin-right	auto
Disposition	max-width	100rem
Boîte	margin-left	auto
Boîte	margin-right	auto
Disposition	max-width	62.5rem
Boîte	margin-left	auto
Boîte	margin-right	auto
Disposition	max-width	75rem
Boîte	margin-left	auto
Boîte	margin-right	auto
Disposition	max-width	100rem
Boîte	margin-left	auto
Boîte	margin-right	auto
Typographie	font-size	var(--normale)
Typographie	font-size	var(--moyenne)
Typographie	line-height	1.6
Typographie	font-size	var(--enorme)
Typographie	font-size	var(--moyenne)
Typographie	font-size	var(--grande)
Typographie	font-size	var(--n-font-size)
Typographie	font-size	var(--enorme)
Typographie	font-size	var(--grande)
Typographie	font-size	var(--normale)
Typographie	font-size	var(--petite)
Typographie	font-size	var(--enorme)
Boîte	padding	0
Typographie	font-size	14px
Typographie	font-size	var(--normale)
Disposition	max-width	62.5rem
Boîte	padding	0
Boîte	padding	4rem 3rem
Boîte	padding	0
Boîte	padding	4rem 3rem
Boîte	padding	4rem 3rem
Boîte	padding	40px
Boîte	padding	4rem 3rem
Boîte	padding	2rem 3rem
Boîte	margin-top	50px
Disposition	min-width	3840px) { .texteLarge, .domaineDeCompetence, .callToAction, .groupeBoutons { max-width: 112.5rem
Boîte	margin-left	auto
Boîte	margin-right	auto
Disposition	max-width	112.5rem
Boîte	margin-left	auto
Boîte	margin-right	auto
Disposition	max-width	68.75rem
Boîte	margin-left	auto
Boîte	margin-right	auto
Disposition	max-width	81.25rem
Boîte	margin-left	auto
Boîte	margin-right	auto
Disposition	max-width	112.5rem
Boîte	margin-left	auto
Boîte	margin-right	auto
Typographie	font-size	var(--normale)
Typographie	font-size	var(--moyenne)
Typographie	line-height	1.6
Typographie	font-size	var(--enorme)
Typographie	font-size	var(--moyenne)
Typographie	font-size	var(--moyenne)
Typographie	font-size	var(--petite)
Typographie	font-size	var(--enorme)
Typographie	font-size	var(--grande)
Typographie	font-size	var(--petite)
Typographie	font-size	var(--moyenne)
Typographie	font-size	var(--enorme)
Boîte	padding	0
Typographie	font-size	14px
Typographie	font-size	var(--normale)
Disposition	max-width	68.75rem
Boîte	padding	0
Boîte	padding	5rem 4rem
Boîte	padding	50px
Boîte	padding	5rem 4rem
Boîte	padding	5rem 4rem
Boîte	padding	50px
Boîte	padding	5rem 4rem
Boîte	padding	2.5rem 4rem
Boîte	margin-top	60px
Disposition	position	fixed
Disposition	top	0
Disposition	left	0
Disposition	right	0
Disposition	width	100%
Couleur et fond	background-color	var(--BleuFonce)
Autre	z-index	1000
Disposition	height	max(80px, 8.75vh)
Disposition	min-height	80px
Disposition	overflow	visible
Disposition	position	absolute
Disposition	top	max(11px, 1.2vh)
Disposition	left	max(11px, 1.2vw)
Autre	z-index	1001
Disposition	display	block
Typographie	text-decoration	none
Divers	cursor	pointer
Disposition	display	block
Disposition	width	auto
Disposition	height	max(99px, 10.83vh)
Disposition	min-height	99px
Autre	object-fit	contain
Disposition	position	absolute
Disposition	top	max(11px, 1.2vh)
Disposition	right	max(11px, 1.2vw)
Autre	z-index	1001
Disposition	display	block
Typographie	text-decoration	none
Divers	cursor	pointer
Disposition	display	block
Disposition	width	auto
Disposition	height	max(99px, 10.83vh)
Disposition	min-height	99px
Autre	object-fit	contain
Disposition	position	absolute
Disposition	left	50%
Disposition	top	50%
Animation et transition	transform	translate(-50%, -50%)
Autre	z-index	1001
Typographie	font-size	var(--h1-font-size)
Typographie	font-weight	var(--h1-font-weight)
Typographie	font-family	var(--font-sans)
Couleur et fond	color	var(--Blanc)
Typographie	line-height	var(--h1-line-height)
Boîte	margin	0
Typographie	white-space	nowrap
Typographie	text-align	center
Boîte	padding	0 1rem
Disposition	max-width	calc(100% - 250px)
Disposition	max-width	768px) { .titreDePage.texte { font-size: var(--moyenne)
Disposition	max-width	calc(100% - 180px)
Boîte	padding	0 0.5rem
Disposition	position	fixed
Disposition	bottom	0
Disposition	left	0
Disposition	right	0
Disposition	width	100%
Couleur et fond	background-color	var(--BleuFonce)
Autre	z-index	1000
Disposition	height	max(50px, 5.47vh)
Disposition	min-height	50px
Disposition	display	flex
Disposition	align-items	center
Disposition	justify-content	space-between
Couleur et fond	color	white
Typographie	font-size	0.875rem
Typographie	font-weight	400
Boîte	margin-left	60px
Effets visuels	opacity	0.8
Disposition	min-width	4em
Disposition	display	flex
Disposition	align-items	center
Disposition	gap	0.5rem
Boîte	margin-right	max(11px, 1.2vw)
Couleur et fond	background	transparent
Boîte	border	none
Boîte	padding	0
Divers	cursor	pointer
Disposition	display	flex
Disposition	align-items	center
Disposition	justify-content	center
Animation et transition	transition	opacity 0.2s ease
Typographie	text-decoration	none
Couleur et fond	color	inherit
Autre	bouton	hover { opacity: 0.8
Autre	bouton	active { opacity: 0.6
Disposition	display	block
Disposition	width	auto
Disposition	height	max(30px, 3.28vh)
Disposition	width	max(30px, 3.28vh)
Disposition	flex-shrink	0
Couleur et fond	color	var(--Blanc)
Disposition	max-width	480px) { .footer .version { margin-left: 60px
Typographie	font-size	var(--n-font-size)
Typographie	font-weight	700
Typographie	font-style	italic
Boîte	margin	0 0 0.75rem 0
Autre	markdownParagraph	last-child { margin-bottom: 0
Boîte	margin	0.5rem 0
Boîte	padding-left	1.5rem
Boîte	margin-bottom	0.25rem
Autre	markdownList	last-child { margin-bottom: 0
Couleur et fond	color	var(--BleuFonce)
Typographie	text-decoration	underline
Animation et transition	transition	color 0.2s ease
Autre	markdownLink	hover { color: var(--lk-color)
Typographie	font-family	var(--font-serif)
Typographie	font-size	var(--a-font-size)
Typographie	font-weight	var(--a-font-weight)
Typographie	font-style	var(--a-font-style)
Typographie	text-align	right
Couleur et fond	color	var(--a-color)
Boîte	margin-top	0.5rem
Boîte	margin-bottom	0
Boîte	padding	2rem
Boîte	padding-top	calc(max(80px, 8.75vh) + 2rem)
Boîte	padding-bottom	calc(max(50px, 5.47vh) + 2rem)
Boîte	margin-bottom	1.5rem
Boîte	padding	0.75rem 0
Boîte	border-bottom	0.125rem solid var(--BleuClair)
Disposition	display	flex
Disposition	flex-wrap	wrap
Disposition	gap	0.5rem 1rem
Divers	list-style	none
Boîte	margin	0
Boîte	padding	0
Disposition	justify-content	flex-start
Disposition	align-items	center
Boîte	margin	0
Boîte	padding	0
Disposition	display	inline-block
Boîte	padding	0.375rem 0.75rem
Boîte	border-radius	0.25rem
Couleur et fond	background-color	var(--BleuClair)
Couleur et fond	color	var(--BleuFonce)
Typographie	font-weight	500
Typographie	text-decoration	none
Typographie	font-size	0.9rem
Boîte	border	0.0625rem solid var(--BleuFonce)
Animation et transition	transition	background-color 0.2s, color 0.2s
Autre	lien	hover { background-color: var(--BleuFonce)
Couleur et fond	color	white
Disposition	display	inline-block
Boîte	padding	0.375rem 0.75rem
Boîte	border-radius	0.25rem
Couleur et fond	background-color	var(--BleuFonce)
Couleur et fond	color	white
Typographie	font-weight	600
Typographie	text-decoration	none
Typographie	font-size	0.9rem
Boîte	border	0.0625rem solid var(--BleuFonce)
Disposition	min-height	6rem
Boîte	padding	0.5rem 1rem 1rem 1rem
Couleur et fond	background-color	var(--background)
Boîte	border	0.0625rem dashed var(--BleuClair)
Boîte	border-radius	0.5rem
Boîte	margin	0
Couleur et fond	color	var(--foreground)
Typographie	font-size	0.9rem
Effets visuels	opacity	0.8
Disposition	max-width	75rem
Boîte	margin	0 auto
Typographie	font-size	0.9rem
Typographie	line-height	1.6
Boîte	margin-bottom	1.5rem
Typographie	font-size	1rem
Typographie	font-weight	600
Boîte	margin	0.75rem 0
Boîte	margin-left	1.25rem
Couleur et fond	color	var(--BleuFonce)
Boîte	margin-bottom	1rem
Typographie	font-size	0.95rem
Typographie	font-weight	bold
Boîte	margin	0.5rem 0
Boîte	margin-left	30px
Couleur et fond	color	var(--BleuFonce)
Boîte	margin	0.5rem 0
Typographie	font-size	0.9rem
Typographie	font-weight	500
Boîte	margin	0.5rem 0
Boîte	margin-left	30px
Couleur et fond	color	var(--foreground)
Disposition	display	flex
Disposition	flex-wrap	wrap
Disposition	align-items	flex-start
Disposition	justify-content	space-between
Disposition	gap	1rem
Boîte	margin-bottom	0.5rem
Boîte	padding-bottom	0.5rem
Boîte	border-bottom	0.125rem solid var(--BleuClair)
Autre	flex	0 1 auto
Boîte	margin-bottom	0
Autre	flex	1 1 auto
Disposition	min-width	12rem
Disposition	max-width	50%
Disposition	display	flex
Disposition	justify-content	flex-end
Disposition	align-items	flex-start
Typographie	font-family	'Clint Marker', cursive
Typographie	font-size	0.9rem
Typographie	line-height	1.4
Couleur et fond	color	var(--BleuFonce)
Boîte	margin	0
Typographie	text-align	right
Boîte	margin	0 0 0.35em 0
Typographie	font-family	'Clint Marker', cursive
Autre	p	last-child { margin-bottom: 0
Disposition	min-height	6rem
Boîte	padding	1rem
Couleur et fond	background-color	var(--background)
Boîte	border	0.0625rem solid var(--BleuClair)
Boîte	border-radius	0.5rem
Boîte	margin-bottom	1rem
Disposition	display	flex
Disposition	flex-wrap	wrap
Disposition	gap	1rem
Boîte	margin-top	0.5rem
Disposition	display	flex
Autre	flex	1 1 100%
Disposition	gap	1rem
Disposition	min-width	0
Disposition	position	sticky
Disposition	top	0
Autre	z-index	1
Couleur et fond	background	var(--background)
Autre	flex	1 1 0
Disposition	min-width	8rem
